packet_rate_pps,trial,sent_packets,received_packets,throughput_kbps,delay_ms
10,1,100,100,8.0,8.7
10,2,100,100,8.0,9.6
10,3,100,99,7.92,8.9
20,1,200,199,15.92,20.8
20,2,200,198,15.84,17.4
20,3,200,199,15.92,19.6
30,1,300,297,23.76,43.1
30,2,300,296,23.68,35.8
30,3,300,295,23.6,40.4
