packet_rate_pps,trial,current_ma,voltage_v,duration_s,received_packets,energy_j,energy_per_packet_j
0.1,3,18.5,3.3,60,6,3.56,0.593
0.1,2,19,3.3,60,6,3.76,0.627
0.1,1,18,3.3,60,6,3.66,0.610
0.5,1,26,3.3,60,29,5.15,0.178
0.5,2,27,3.3,60,28,5.35,0.191
0.5,3,26.5,3.3,60,27,5.25,0.194
1.0,1,34,3.3,60,52,6.73,0.129
1.0,2,35,3.3,60,49,6.93,0.141
1.0,3,34.5,3.3,60,47,6.83,0.145
