packet_rate_pps,trial,current_ma,voltage_v,duration_s,received_packets,energy_j,energy_per_packet_j
10,1,116,3.3,10,100,3.83,0.0383
10,2,118,3.3,10,100,3.89,0.0389
10,3,117,3.3,10,99,3.86,0.0390
20,1,125,3.3,10,199,4.13,0.0208
20,2,127,3.3,10,198,4.19,0.0212
20,3,126,3.3,10,199,4.16,0.0209
30,1,134,3.3,10,297,4.42,0.0149
30,2,136,3.3,10,296,4.49,0.0152
30,3,135,3.3,10,295,4.46,0.0151
