packet_rate_pps,trial,sent_packets,received_packets,throughput_kbps,delay_ms
0.1,1,6,6,0.016,63.5
0.1,2,6,6,0.016,58.9
0.1,3,6,6,0.016,61.7
0.5,1,30,29,0.077,106.2
0.5,2,30,27,0.072,94.8
0.5,3,30,28,0.075,101.5
1.0,1,60,51,0.136,188.4
1.0,2,60,48,0.128,169.7
1.0,3,60,49,0.131,181.2
